Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id,spotify:track:Spotify - id
Ala Barfi,Pritam,Barfi! (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INU151200075,6yipH0hUeAf4YPK40k1oIY,spotify:track:6yipH0hUeAf4YPK40k1oIY
Aashiyan,Pritam,Barfi! (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INU151200111,7ttlemwytO21npSmLKqTBg,spotify:track:7ttlemwytO21npSmLKqTBg
Tere Bin,Atif Aslam,Bas Ek Pal (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INT100600043,3DpedytYku64Hjf51064vO,spotify:track:3DpedytYku64Hjf51064vO
Laung Gawacha,Nucleya,Bass Rani,Favorite Songs,Favorite,FR2X41604890,11j7AtNPZNq6BUQhAYrWvC,spotify:track:11j7AtNPZNq6BUQhAYrWvC
Galavar Khali,Swapnil Bandodkar,Bedhund,Favorite Songs,Favorite,INS100300017,3ezowHcA3B06rcrbdd0GYb,spotify:track:3ezowHcA3B06rcrbdd0GYb
Galavar Khali,Swapnil Bandodkar,Bedhund,Favorite Songs,Favorite,INS100300017,2VhBp6Q0YPBFlDR1CuMWNp,spotify:track:2VhBp6Q0YPBFlDR1CuMWNp
Nashe Si Chadh Gayi,Vishal-Shekhar,Befikre,Favorite Songs,Favorite,INY091600067,0biCSADTAblvLTLtJz4pXO,spotify:track:0biCSADTAblvLTLtJz4pXO
"Duaa (From ""Shanghai"")",Nandini Srikar,Best Of Arijit Singh - Revisited,Favorite Songs,Favorite,INS181201310,6U7K35NrdOzxUbh4nuuz7U,spotify:track:6U7K35NrdOzxUbh4nuuz7U
"Banjaara (From ""Ek Villain"")",Mohammed Irfan,Best Of Shraddha Kapoor,Favorite Songs,Favorite,INS181401028,2S6N9pbnkhQRyAx80HmF79,spotify:track:2S6N9pbnkhQRyAx80HmF79
Cham Cham Karta,Vaishali Samant,Best of Vaishali Samant,Favorite Songs,Favorite,INS100500033,4mC1aFCcqAgq6Nclzdg1fF,spotify:track:4mC1aFCcqAgq6Nclzdg1fF
Cham Cham Karta,Vaishali Samant,Best of Vaishali Samant,Favorite Songs,Favorite,INS100500033,2r6yuArcbVjLwVgwui6OVv,spotify:track:2r6yuArcbVjLwVgwui6OVv
Bewafa,Imran Khan,Bewafa,Favorite Songs,Favorite,GBRCG0900013,4FcknXDJ8yW2QYUl0cm6uJ,spotify:track:4FcknXDJ8yW2QYUl0cm6uJ
Maston Ka Jhund,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171300368,3lSa2IIHfPmusFdvxFh9yE,spotify:track:3lSa2IIHfPmusFdvxFh9yE
O Rangrez,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171300371,5JCDVLwteSXuwVqjCa7SwH,spotify:track:5JCDVLwteSXuwVqjCa7SwH
Bhool Bhulaiyaa,Pritam,Bhool Bhulaiyaa,Favorite Songs,Favorite,INS180705570,6CCV7FeYgEQ7Ekbes6B36Q,spotify:track:6CCV7FeYgEQ7Ekbes6B36Q
Labon Ko,Pritam,Bhool Bhulaiyaa,Favorite Songs,Favorite,INS180705571,5WncH5iZ5GFlnXm7jKEXVP,spotify:track:5WncH5iZ5GFlnXm7jKEXVP
Big Dawgs,Hanumankind,Big Dawgs,Favorite Songs,Favorite,INUM72400563,0OA00aPt3BV10qeMIs3meW,spotify:track:0OA00aPt3BV10qeMIs3meW
Love Mera Hit Hit,Pritam,Billu,Favorite Songs,Favorite,INS180810381,2VgbvKdaSOXWByBKYgBsEc,spotify:track:2VgbvKdaSOXWByBKYgBsEc
Marjaani,Pritam,Billu,Favorite Songs,Favorite,INS180810380,2nNaw1QUcqiEX6pBFxcpp3,spotify:track:2nNaw1QUcqiEX6pBFxcpp3
Jaoon Kahan,Pritam,Billu,Favorite Songs,Favorite,INS180810384,1s5ofpTfOf3N9KdIYDe6Qd,spotify:track:1s5ofpTfOf3N9KdIYDe6Qd
Khudaya Khair,Pritam,Billu,Favorite Songs,Favorite,INS180810386,2XYyriLyJSuGj4FN7QoNmM,spotify:track:2XYyriLyJSuGj4FN7QoNmM
Bing Bing Boo!,Yashraj Mukhate,Bing Bing Boo!,Favorite Songs,Favorite,FRX282138310,3efEocziYjASsr8RojWERn,spotify:track:3efEocziYjASsr8RojWERn
Chaahat,Jeet Gannguli,Blood Money (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171200120,6cLdrOr82mTQdwaqT9fkou,spotify:track:6cLdrOr82mTQdwaqT9fkou
Blue Eyes,Yo Yo Honey Singh,Blue Eyes,Favorite Songs,Favorite,INS181306486,7wW9scVNLYFLsmBb1yAUmS,spotify:track:7wW9scVNLYFLsmBb1yAUmS
Bure Bure and Boro Boro,Robert Uhlmarash,Bluff Master,Favorite Songs,Favorite,INH100511012,0mtqO3R0H6iKpPeqWlrNYD,spotify:track:0mtqO3R0H6iKpPeqWlrNYD
Right Here Right Now,Abhishek Bachchan,Bluff Master (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INH100511009,4pVnxSz312uhq2hM3b8CAO,spotify:track:4pVnxSz312uhq2hM3b8CAO
Bom Diggy Diggy,Zack Knight,"Bom Diggy Diggy (From ""Sonu Ke Titu Ki Sweety"")",Favorite Songs,Favorite,INS181800259,6qCNaRRr5xJALfNJvh0NAw,spotify:track:6qCNaRRr5xJALfNJvh0NAw
"Tu Hi Re - From ""Bombay""",Hariharan,Bombay (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INUM70500526,6nwRC0UkS1MdOOMjcJsrbX,spotify:track:6nwRC0UkS1MdOOMjcJsrbX
Haye Mera Dil,Alfaaz,Boy Next Door,Favorite Songs,Favorite,GBEBS1200091,2LWyWbBMdfnIIS0B64ML1S,spotify:track:2LWyWbBMdfnIIS0B64ML1S
Tera Nasha,The Bilz & Kashif,Breaking Barriers,Favorite Songs,Favorite,TCACF1534824,2xuIJCSAVVWS71343RmDYF,spotify:track:2xuIJCSAVVWS71343RmDYF
Koyi Jo Mila Toh Mujeh Aisa Lagata Tha,Shankar Mahadevan,Breathless,Favorite Songs,Favorite,INH109817270,3Uy8cbGXOrZRCR6YGdPBrr,spotify:track:3Uy8cbGXOrZRCR6YGdPBrr
Bruk It Down (feat. TxTHEWAY),KSHMR,Bruk It Down (feat. TxTHEWAY),Favorite Songs,Favorite,NLZ542000523,04J03yanQCmSuigan5Y0cM,spotify:track:04J03yanQCmSuigan5Y0cM
Kajra Re,Shankar-Ehsaan-Loy,Bunty Aur Babli,Favorite Songs,Favorite,INY090500039,72HdutlIHBZJ7WT1xVAAZT,spotify:track:72HdutlIHBZJ7WT1xVAAZT
Chup Chup Ke,Shankar-Ehsaan-Loy,Bunty Aur Babli,Favorite Songs,Favorite,INY090500035,2C6l8EGcbfcLXu0mWfAadB,spotify:track:2C6l8EGcbfcLXu0mWfAadB
Dhadak Dhadak,Shankar-Ehsaan-Loy,Bunty Aur Babli,Favorite Songs,Favorite,INY090500034,6kOuIhlzgPlqlrWPudpSHL,spotify:track:6kOuIhlzgPlqlrWPudpSHL
Car Nachdi,Gippy Grewal,Car Nachdi,Favorite Songs,Favorite,INS181701047,6h9at5ybRSXJarocy5q9et,spotify:track:6h9at5ybRSXJarocy5q9et
Magenta Riddim,DJ Snake,Carte Blanche,Favorite Songs,Favorite,USUG11800073,3dsyqPDiWYYilRZNBxgxHE,spotify:track:3dsyqPDiWYYilRZNBxgxHE
Angreji Beat,Yo Yo Honey Singh,Chaar Ikke,Favorite Songs,Favorite,INM431101194,377GChk68wFN4vwL5xUTEy,spotify:track:377GChk68wFN4vwL5xUTEy
Ghum Shuda,Sonu Nigam,Chalte Chalte,Favorite Songs,Favorite,INS180351116,2VNjrIKUVCIKsYOq1E2Sv0,spotify:track:2VNjrIKUVCIKsYOq1E2Sv0
Chandra,Ajay-Atul,Chandramukhi,Favorite Songs,Favorite,INE152200007,79J1iJHBkb0N3SZW5Niq3D,spotify:track:79J1iJHBkb0N3SZW5Niq3D
Channa Vey,Kunal Ganjawala,Channa Vey,Favorite Songs,Favorite,INUM70503538,3At4t5vZ0lDuNWLBPEk6Ck,spotify:track:3At4t5vZ0lDuNWLBPEk6Ck
Muskurane - Romantic,Jeet Gannguli,Citylights (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171400522,6fW78cd0p3ZDUzoqvx2Xqe,spotify:track:6fW78cd0p3ZDUzoqvx2Xqe
"Tum Hi Ho Bandhu (From ""Cocktail"")",Neeraj Shridhar,Cocktail,Favorite Songs,Favorite,GBSGZ1200008,4pE05HNzmVFGpCOfNKE3w6,spotify:track:4pE05HNzmVFGpCOfNKE3w6
"Mein Sharabi (From ""Cocktail"")",Imran Aziz,Cocktail,Favorite Songs,Favorite,GBSGZ1200027,55aetJzZY4uHModJdaMf5i,spotify:track:55aetJzZY4uHModJdaMf5i
Coka,Sukh-E Muzical Doctorz,Coka,Favorite Songs,Favorite,INSD11900001,4ZoPO0uIf19KKO7B0HEnmP,spotify:track:4ZoPO0uIf19KKO7B0HEnmP
Khallas,Asha Bhosle,Company,Favorite Songs,Favorite,INS180241142,3db5d0Qw7OGCOzio7MJxbl,spotify:track:3db5d0Qw7OGCOzio7MJxbl
"Rum Whisky (From ""Vicky Donor"")",Akshay Verma,Coz I'm Happy,Favorite Songs,Favorite,GBSGZ1100025,5fKq1y37kzXZPGNtZCbUtF,spotify:track:5fKq1y37kzXZPGNtZCbUtF
Mere Bina,Pritam,Crook (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171000264,4rSmmC6OYmjVOYxr8ruVWN,spotify:track:4rSmmC6OYmjVOYxr8ruVWN
Teri Umeed Tera Intezar,Kumar Sanu,Deewana (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INV119200169,3jCXRAEQq0J4ai2JOmypRq,spotify:track:3jCXRAEQq0J4ai2JOmypRq
Switty Tera Pyaar Chaida,Ram Sampath,Delhi Belly (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS172002196,0jWrfBcKMBQjJnDbpM6GMu,spotify:track:0jWrfBcKMBQjJnDbpM6GMu
Dilli - 6,Blaaze,Delhi-6,Favorite Songs,Favorite,INS180900092,7pJlOw7kYWSP2Ai4uPYYZT,spotify:track:7pJlOw7kYWSP2Ai4uPYYZT
